date,value
2014-06-30,1
2014-10-16,1
2015-11-19,50
2015-11-18,16
2015-11-11,9
2015-11-10,8
2015-11-13,23
2015-11-12,9
2015-11-15,7
2015-11-14,12
2015-11-17,17
2015-11-16,13
2012-09-26,1
2013-12-29,1
2014-09-18,1
2013-12-23,2
2014-09-14,1
2014-09-16,1
2014-09-11,1
2014-09-10,1
2013-12-25,1
2014-09-12,1
2015-09-10,2
2015-09-11,5
2015-09-12,1
2015-09-13,1
2015-09-14,6
2015-09-15,5
2015-09-16,1
2015-09-17,9
2015-09-18,1
2015-09-19,2
2012-04-10,3
2011-08-31,1
2015-07-09,2
2015-07-05,2
2015-07-07,1
2015-07-06,1
2015-07-01,1
2013-04-19,1
2015-12-14,11
2015-12-15,5
2015-12-16,17
2015-12-17,24
2015-12-10,21
2013-07-11,2
2013-07-12,1
2015-12-13,11
2015-12-18,15
2013-07-19,1
2014-03-31,1
2014-03-30,1
2013-09-01,1
2013-09-03,1
2013-08-09,1
2014-03-09,2
2013-03-10,2
2013-03-11,1
2013-03-12,1
2012-01-28,1
2013-04-15,1
2015-06-10,2
2015-06-12,1
2015-06-14,1
2015-06-17,1
2015-06-16,3
2012-05-22,1
2015-02-01,1
2012-12-17,1
2014-03-07,1
2014-04-29,1
2011-09-04,1
2014-04-27,3
2011-09-09,1
2011-09-08,1
2014-04-20,1
2012-03-19,1
2012-12-14,1
2012-03-12,1
2012-03-14,1
2015-02-19,1
2015-02-18,1
2015-02-17,1
2015-02-13,2
2015-02-12,2
2014-07-02,2
2014-07-03,1
2014-07-04,1
2014-07-06,1
2013-05-25,2
2014-07-09,1
2015-05-29,1
2013-12-20,1
2013-05-17,1
2011-11-04,1
2015-03-31,1
2015-07-13,1
2014-08-05,4
2014-08-07,1
2014-08-06,2
2011-05-07,1
2011-05-06,3
2011-05-05,1
2011-05-04,3
2014-10-28,4
2014-10-29,1
2014-10-26,1
2014-10-27,2
2014-10-25,1
2014-10-22,5
2014-10-23,3
2011-05-09,1
2014-11-14,3
2014-11-16,2
2014-11-17,1
2014-11-10,1
2014-11-12,3
2014-11-13,1
2015-08-31,1
2015-08-30,2
2014-11-18,5
2014-11-19,3
2013-08-20,2
2013-08-21,1
2013-08-22,2
2013-08-23,1
2015-10-18,11
2013-08-28,1
2015-10-19,4
2014-12-19,2
2014-12-18,3
2012-04-12,1
2014-12-11,3
2014-12-12,4
2014-12-15,3
2014-12-14,5
2014-12-17,3
2014-12-16,1
2013-12-12,1
2013-12-10,1
2013-12-11,3
2013-12-14,2
2012-08-04,1
2014-08-11,4
2014-10-19,2
2015-08-23,1
2012-10-13,2
2015-06-24,1
2013-10-28,2
2014-10-18,2
2013-10-24,1
2013-10-27,1
2013-10-26,4
2013-10-21,1
2013-10-23,1
2013-10-22,2
2014-02-07,3
2014-02-06,1
2014-01-03,1
2012-07-10,1
2014-02-01,1
2012-07-12,2
2013-06-10,1
2016-01-31,19
2016-01-30,20
2015-01-30,2
2012-12-06,1
2015-03-03,2
2015-03-05,1
2015-03-07,2
2015-03-06,4
2013-11-13,1
2013-11-16,1
2013-11-15,3
2013-11-14,2
2013-11-19,1
2015-05-03,4
2015-05-01,3
2015-05-07,3
2015-01-09,1
2015-05-05,1
2013-06-21,1
2015-01-08,2
2014-11-23,1
2015-01-18,2
2015-01-19,2
2014-04-14,1
2014-04-15,2
2014-04-12,1
2014-04-10,1
2014-04-11,2
2015-01-10,3
2015-01-11,3
2015-01-14,2
2014-04-18,1
2015-01-17,3
2014-11-27,1
2014-10-02,1
2012-05-16,1
2012-11-20,2
2011-06-06,2
2014-06-20,2
2014-06-23,1
2014-06-22,2
2014-06-25,1
2011-06-03,2
2011-06-01,4
2014-10-08,3
2015-11-28,14
2015-11-29,8
2014-10-09,2
2015-11-24,18
2015-11-25,5
2015-11-26,12
2015-11-27,6
2015-11-20,30
2015-11-21,23
2015-11-22,15
2015-11-23,14
2014-09-21,1
2014-09-22,7
2014-09-23,2
2014-09-27,2
2014-05-02,2
2014-09-29,1
2014-05-06,2
2015-09-07,1
2015-09-06,5
2015-09-05,1
2015-09-04,2
2015-09-03,1
2015-09-02,3
2015-09-01,1
2015-10-30,4
2015-10-31,10
2011-05-30,2
2011-05-31,1
2013-12-15,1
2015-07-30,7
2015-12-09,15
2015-12-08,21
2015-12-03,18
2015-12-02,24
2015-12-01,7
2015-12-07,4
2015-12-06,9
2015-12-05,6
2015-12-04,9
2012-08-30,1
2015-12-11,13
2011-04-21,6
2014-03-08,1
2015-12-12,7
2014-01-01,1
2014-03-04,1
2014-03-05,1
2013-07-13,1
2014-03-03,1
2015-04-12,1
2013-03-06,1
2015-06-19,1
2013-07-18,2
2013-04-08,1
2013-03-08,2
2011-08-08,2
2015-06-25,3
2015-06-26,4
2013-09-19,1
2015-06-20,2
2015-06-21,1
2015-06-22,3
2015-06-23,1
2014-07-21,1
2012-11-17,1
2012-03-29,2
2015-02-20,1
2015-02-21,1
2015-02-22,1
2015-11-01,7
2015-02-26,5
2015-02-27,2
2015-02-28,1
2014-07-16,1
2014-07-13,1
2014-07-12,1
2013-11-22,5
2013-11-23,1
2014-03-25,3
2013-11-24,1
2013-11-25,2
2015-03-08,1
2014-11-22,4
2012-10-01,1
2012-08-16,3
2012-10-04,4
2014-06-07,1
2014-08-30,1
2014-06-06,2
2014-07-18,2
2014-10-31,1
2015-08-08,2
2015-08-09,1
2015-08-04,1
2015-08-05,2
2015-08-07,2
2015-08-02,2
2015-08-03,1
2014-11-08,1
2014-12-28,1
2014-12-29,1
2014-12-26,1
2014-12-20,1
2014-12-21,3
2014-12-22,4
2013-12-02,1
2013-12-05,1
2013-12-04,1
2013-12-06,1
2013-12-09,1
2015-09-30,1
2011-03-01,1
2011-03-08,1
2013-10-12,2
2013-10-13,2
2013-10-14,4
2013-10-17,1
2013-10-18,4
2013-10-19,17
2015-09-20,3
2015-12-30,3
2015-12-31,6
2014-11-02,2
2014-11-01,1
2015-09-22,3
2014-11-07,1
2014-11-06,2
2014-11-05,4
2014-11-04,3
2016-01-04,23
2016-01-05,8
2016-01-06,6
2016-01-07,12
2016-01-01,4
2016-01-02,9
2016-01-03,6
2016-01-08,13
2016-01-09,12
2015-04-09,1
2015-04-01,1
2015-04-02,3
2015-04-03,3
2015-04-04,1
2015-04-06,2
2015-04-07,1
2015-05-08,1
2014-04-05,1
2015-10-27,3
2014-04-01,1
2014-04-03,2
2014-04-02,2
2015-01-07,3
2015-01-06,1
2015-01-05,2
2015-01-04,3
2015-01-03,1
2015-10-25,3
2015-01-01,3
2014-04-16,3
2013-06-02,1
2015-10-24,4
2013-05-23,1
2015-10-22,2
2012-10-30,1
2013-02-08,1
2013-02-06,1
2013-05-20,1
2014-07-23,1
2014-07-20,1
2015-03-18,2
2014-06-14,2
2014-06-16,1
2014-06-10,1
2011-06-10,3
2014-06-12,2
2014-06-13,2
2011-04-19,1
2011-04-18,7
2014-06-18,1
2015-11-30,11
2013-09-27,1
2013-09-26,2
2015-03-19,3
2014-05-19,1
2014-02-10,1
2014-09-30,2
2014-05-10,1
2014-04-28,2
2014-05-14,1
2014-05-16,1
2011-05-28,1
2015-10-29,5
2015-10-28,7
2011-05-25,2
2011-05-24,3
2011-05-27,1
2014-04-19,1
2015-10-23,5
2013-05-22,1
2015-10-21,2
2015-10-20,6
2014-04-24,2
2014-02-17,1
2015-07-27,2
2015-07-26,3
2015-07-25,1
2015-07-24,5
2015-07-22,3
2015-07-21,1
2015-07-20,7
2013-08-07,2
2015-07-29,1
2013-08-01,1
2012-08-20,1
2014-03-11,1
2014-01-11,1
2014-01-10,1
2014-01-13,1
2014-03-14,1
2014-03-18,1
2014-01-19,1
2015-06-30,5
2014-02-24,7
2014-02-27,2
2015-07-28,4
2014-02-21,2
2011-08-12,1
2013-09-18,1
2012-03-30,1
2015-10-26,9
2011-05-01,1
2012-12-28,1
2012-09-17,1
2012-02-24,1
2015-10-16,2
2015-05-28,2
2015-10-14,4
2015-10-15,9
2015-10-12,8
2015-10-13,7
2015-10-10,4
2015-10-11,7
2015-05-21,4
2015-05-20,6
2015-05-23,2
2015-05-22,1
2015-05-25,4
2011-06-04,2
2011-11-08,1
2015-05-26,1
2012-10-11,1
2011-06-02,1
2015-01-16,2
2014-08-21,4
2014-08-25,1
2014-08-28,1
2014-10-01,8
2016-02-18,52
2014-10-03,5
2014-10-05,2
2014-10-06,4
2014-10-07,5
2016-02-12,30
2016-02-13,15
2016-02-10,22
2016-02-11,32
2016-02-16,22
2016-02-17,18
2016-02-14,15
2016-02-15,21
2015-08-13,2
2015-08-12,3
2011-04-28,2
2015-08-10,1
2015-08-17,5
2015-08-14,5
2011-04-22,1
2011-04-23,3
2015-08-18,4
2011-04-26,1
2011-04-27,2
2014-03-27,1
2015-11-08,10
2015-11-09,10
2015-11-02,11
2015-11-03,13
2013-09-10,1
2013-09-11,1
2015-11-06,9
2015-11-07,4
2015-11-04,13
2015-11-05,10
2014-12-30,1
2014-09-08,1
2014-09-09,1
2014-09-06,1
2014-09-04,2
2014-09-05,3
2014-09-01,1
2015-09-29,6
2015-09-28,5
2015-09-25,3
2015-09-24,3
2015-09-26,4
2015-03-10,1
2015-09-23,2
2013-04-29,1
2013-07-30,1
2014-01-17,1
2015-07-18,1
2015-07-19,3
2015-07-16,4
2015-07-17,3
2015-07-14,2
2015-07-15,2
2015-07-12,2
2013-07-04,1
2015-07-10,3
2015-07-11,1
2013-10-07,1
2013-10-02,1
2013-10-01,36
2013-09-30,77
2013-10-09,1
2013-10-08,3
2015-12-21,6
2015-12-20,5
2015-12-23,8
2015-12-22,11
2015-12-25,11
2015-12-24,6
2015-12-27,12
2015-12-26,5
2015-12-29,13
2015-12-28,3
2013-01-18,1
2013-04-23,2
2014-03-28,1
2014-03-22,1
2014-03-23,1
2014-03-20,2
2014-05-08,1
2014-03-24,1
2012-02-19,1
2016-01-19,19
2016-01-18,19
2016-01-13,12
2016-01-12,10
2016-01-11,17
2016-01-10,6
2016-01-17,10
2016-01-16,10
2016-01-15,9
2016-01-14,16
2015-03-23,2
2015-03-22,3
2015-03-21,2
2015-03-20,2
2015-03-26,2
2015-03-25,1
2011-02-25,1
2015-03-29,5
2015-03-28,2
2013-03-21,2
2013-03-22,2
2015-06-02,4
2015-06-03,2
2015-06-01,3
2015-06-07,1
2015-06-04,1
2015-04-18,1
2015-04-17,1
2015-04-16,1
2015-04-15,4
2015-06-09,4
2015-04-13,1
2013-03-27,1
2015-04-10,1
2013-05-05,1
2011-09-10,1
2015-10-17,5
2012-03-09,1
2012-03-06,1
2013-06-13,1
2014-08-16,1
2015-02-08,1
2015-02-09,2
2015-02-07,1
2015-02-04,5
2015-02-05,1
2015-02-02,2
2015-02-03,3
2015-12-19,4
2013-02-13,1
2013-02-19,1
2014-07-30,1
2015-04-19,1
2015-05-10,1
2015-05-11,1
2014-08-18,1
2014-05-29,1
2014-08-13,1
2014-08-10,1
2014-05-27,2
2014-05-20,1
2014-05-21,3
2014-05-22,2
2014-05-23,1
2011-05-12,1
2011-05-13,1
2011-05-14,1
2014-11-21,1
2015-08-28,2
2015-08-29,3
2014-11-25,4
2013-04-25,2
2014-11-26,1
2014-11-28,2
2015-08-21,2
2015-08-26,5
2015-08-27,2
2015-08-24,10
2015-08-25,6
2013-08-18,1
2013-08-15,1
2013-08-16,2
2013-08-11,3
2014-12-09,1
2014-12-02,1
2014-12-03,3
2014-12-01,1
2014-12-06,1
2014-12-04,3
2014-12-05,6
2011-06-28,1
2011-06-29,2
2014-06-03,2
2014-06-02,1
2014-06-01,4
2012-08-17,1
2011-06-24,1
2011-06-25,3
2014-06-05,1
2014-06-04,1
2015-04-26,3
2015-04-24,1
2015-04-25,2
2015-04-22,1
2015-04-23,1
2015-04-20,2
2015-04-21,1
2015-04-28,4
2015-04-29,9
2013-10-30,1
2012-05-13,1
2014-02-11,1
2014-02-13,4
2014-10-20,3
2014-02-16,2
2014-02-15,2
2014-02-18,1
2014-02-19,1
2012-12-11,1
2016-01-22,25
2016-01-23,11
2016-01-20,15
2016-01-21,31
2016-01-26,27
2016-01-27,13
2016-01-24,12
2016-01-25,13
2016-01-28,19
2016-01-29,10
2015-03-16,1
2015-03-17,7
2015-03-14,2
2015-03-15,1
2014-01-28,2
2013-07-31,2
2013-11-08,2
2013-11-05,1
2014-01-22,1
2014-01-23,1
2014-01-25,1
2014-01-27,1
2015-10-05,7
2015-10-04,2
2015-10-07,3
2015-10-06,3
2015-10-01,8
2015-05-19,4
2015-10-03,1
2015-10-02,7
2015-05-14,5
2015-05-15,2
2015-05-16,1
2015-05-17,3
2015-10-09,5
2015-10-08,17
2015-05-12,1
2013-02-22,1
2012-10-29,1
2012-10-25,2
2013-05-06,2
2015-01-25,1
2015-01-24,2
2015-01-26,1
2015-01-20,2
2015-01-23,2
2015-01-22,1
2013-06-26,7
2013-02-26,2
2013-06-25,2
2015-01-29,3
2015-01-28,4
2013-02-27,1
2016-02-09,18
2016-02-08,17
2014-10-14,1
2014-10-13,2
2014-10-12,2
2014-10-11,4
2014-10-10,3
2016-02-01,22
2016-02-03,16
2016-02-02,22
2016-02-05,33
2016-02-04,14
2016-02-07,4
2016-02-06,12
